id,red,green,blue
398,247,144,171
399,248,193,104
400,248,87,163
401,249,150,94
402,24,14,84
403,24,75,114
404,250,194,14
405,250,229,141
406,250,232,76
407,251,143,159
408,252,124,255
409,253,143,148
410,253,146,108
411,254,180,218
412,255,131,206
413,255,143,137
414,255,144,124
415,255,147,0
416,255,172,255
417,255,178,206
418,255,185,122
419,255,188,113
420,255,189,41
421,255,216,255
422,255,226,146
423,255,228,80
424,255,255,255
425,255,30,232
426,255,63,196
427,255,81,111
428,255,81,128
429,255,83,147
430,255,84,91
431,255,88,64
432,255,97,20
433,25,51,75
434,26,27,43
435,28,136,136
436,28,199,142
437,28,28,28
438,29,101,151
439,29,128,191
440,31,0,101
441,33,134,150
442,33,28,8
443,34,111,41
444,34,54,26
445,35,136,130
446,36,168,131
447,36,36,122
448,37,23,40
449,37,43,100
450,3,56,51
451,40,7,78
452,41,16,58
453,41,22,141
454,42,137,122
455,42,141,47
456,42,24,12
457,42,73,115
458,43,22,33
459,44,47,76
460,45,133,155
461,45,21,25
462,45,81,26
463,46,106,107
464,46,14,55
465,47,0,160
466,47,160,198
467,47,171,52
468,47,52,12
469,48,105,116
470,48,12,53
471,49,106,97
472,49,233,55
473,49,49,49
474,49,58,163
475,50,0,73
476,50,168,123
477,51,48,186
478,52,202,56
479,53,137,110
480,53,255,212
481,53,76,77
482,53,9,48
483,54,187,244
484,54,65,139
485,55,0,69
486,55,230,134
487,55,32,206
488,55,38,96
489,55,75,85
490,55,98,152
491,56,106,89
492,56,7,45
493,57,109,20
494,57,43,72
495,57,49,2
496,57,76,69
497,58,5,41
498,59,102,121
499,59,131,159
500,59,137,104
501,59,79,11
502,5,53,72
503,60,75,229
504,61,0,225
505,61,27,115
506,62,2,32
507,62,64,250
508,62,68,115
509,63,1,27
510,64,106,80
511,64,1,21
512,64,40,67
513,64,4,3
514,64,75,60
515,64,84,202
516,65,46,7
517,66,34,91
518,67,124,192
519,67,222,227
520,68,198,122
521,68,3,133
522,68,77,0
523,69,136,95
524,69,167,109
525,69,71,88
526,70,220,237
527,70,223,218
528,70,39,60
529,71,157,201
530,71,42,17
531,72,152,235
532,72,31,86
533,72,72,72
534,72,90,177
535,73,255,200
536,74,138,11
537,74,37,54
538,74,99,124
539,75,18,108
540,76,223,207
541,76,37,46
542,77,109,247
543,77,28,82
544,77,38,28
545,77,72,52
546,78,37,38
547,78,58,135
548,79,104,64
549,79,106,0
550,7,83,50
551,81,218,249
552,82,25,78
553,82,67,83
554,82,93,151
555,83,48,156
556,83,72,0
557,83,9,103
558,84,62,109
559,85,126,163
560,86,223,197
561,87,22,71
562,87,68,55
563,89,66,72
564,89,70,0
565,90,0,97
566,90,115,218
567,90,168,0
568,90,19,65
569,90,255,189
570,91,32,175
571,91,60,104
572,91,66,63
573,91,95,125
574,93,165,88
575,93,18,59
576,93,223,189
577,93,52,129
578,94,154,203
579,94,182,248
580,95,0,91
581,95,101,51
582,95,16,53
583,95,190,187
584,95,67,0
585,96,133,69
586,96,23,0
587,97,124,164
588,97,14,46
589,97,191,180
590,97,216,255
591,97,57,100
592,97,97,97
593,98,13,37
594,98,159,158
595,98,16,28
596,98,188,201
597,98,18,18
598,99,0,194
599,99,88,148
